League,Season,Team,Sequence,n,n1,n2,k,k1,k2,c1,c2,c3,n1*,c1*,n2*,c2*
Bundesliga,2000,Bayern Munich,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1]",28,14,14,19,9,10,1.4142084474522654,1.5217617602932303,1.2330456226880395,10,2.449469547300114,10.0,3.944893810565134
Bundesliga,2000,Bochum,"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",28,14,14,7,5,2,3.557103300669816,10.50253231719744,4.975124378109452,5,4.2139917695473255,5.0,12.95978140951449
Bundesliga,2000,Cottbus,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1]",31,16,15,12,6,6,1.5401026560662618,1.79604172854337,1.443001443001443,13,1.6333956941643777,13.0,2.0392163163840733
Bundesliga,2000,Dortmund,"[1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1]",24,12,12,16,7,9,1.221184094120891,1.239523109694232,1.1185682326621924,8,1.8804815133276007,5.0,2.7689978903543144
Bundesliga,2000,Ein Frankfurt,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",29,15,14,10,6,4,2.278358620433357,3.863889620287177,2.4330900243309004,10,3.6638715154115413,10.0,8.5511267221124
Bundesliga,2000,FC Koln,"[0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]",24,12,12,12,7,5,2.5825977301387137,4.828396632130076,3.0120481927710845,2,4.0,2.0,14.321579755450768
Bundesliga,2000,Freiburg,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1]",24,12,12,15,6,9,1.12808850362943,1.1147670582566984,1.0548523206751057,9,1.3922245793558001,9.0,1.5923205286253164
Bundesliga,2000,Hamburg,"[0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",23,12,11,10,5,5,1.4888918213567126,1.7463541946265306,1.364256480218281,10,1.8383009174297036,1.0,5.407716892188215
Bundesliga,2000,Hansa Rostock,"[0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0]",27,14,13,12,6,6,1.5175105332061891,1.759386916159739,1.3869625520110958,1,1.7999999999999998,1.0,5.524095948810327
Bundesliga,2000,Hertha,"[0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1]",32,16,16,18,9,9,1.6806258940555632,2.0,1.51285930408472,8,2.025236268514512,8.0,2.9380490498420193
Bundesliga,2000,Kaiserslautern,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0]",29,15,14,15,9,6,2.892765218362916,5.619271194285363,3.236245954692557,7,19.251776440554806,7.0,87.50698347541301
Bundesliga,2000,Leverkusen,"[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1]",28,14,14,17,9,8,2.0327100704732444,2.8620860603416816,2.032520325203252,11,4.3294894399804535,11.0,10.897116386570207
Bundesliga,2000,Munich 1860,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0]",26,13,13,12,6,6,1.63540341789661,2.0,1.545595054095827,9,2.9841667741765505,9.0,5.882044676611077
Bundesliga,2000,Schalke 04,"[1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1]",26,13,13,18,9,9,1.6581246534155312,2.0,1.488095238095238,11,2.2074817045003536,2.0,3.7059895069314273
Bundesliga,2000,Stuttgart,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0]",23,12,11,9,4,5,1.294771086918406,1.3810708078069205,1.1750881316098707,1,1.6428571428571428,1.0,4.850506356147393
Bundesliga,2000,Unterhaching,"[0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",23,12,11,8,5,3,2.3169831150268667,4.263807401259858,2.5,6,3.0943552472401854,6.0,7.181502633412907
Bundesliga,2000,Werder Bremen,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1]",26,13,13,15,6,9,1.14894499498751,1.1323123378609816,1.0559662090813091,4,1.772248313948753,4.0,2.721214091803905
Bundesliga,2000,Wolfsburg,"[0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]",23,12,11,12,7,5,2.265844858742432,3.725717207885436,2.364066193853428,11,2.2658448587424314,1.0,7.004086857094807
Bundesliga,2001,Bayern Munich,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",26,13,13,20,10,10,1.6489719930562854,2.0,1.497005988023952,13,1.6489719930562854,13.0,2.0
Bundesliga,2001,Cottbus,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",26,13,13,9,3,6,1.1404595918962377,1.1212023997753855,1.0471204188481675,2,2.339100346020761,2.0,7.038147400342609
Bundesliga,2001,Dortmund,"[1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1]",27,14,13,21,11,10,1.73130700446527,2.1786232127604483,1.557632398753894,10,2.5646175908581266,10.0,4.386695266286723
Bundesliga,2001,FC Koln,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]",26,13,13,7,3,4,1.345455675609176,1.490743003650105,1.2285012285012284,13,1.345455675609176,13.0,1.490743003650105
Bundesliga,2001,Freiburg,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",25,13,12,7,5,2,3.292661561131529,8.877048632583316,4.587155963302752,12,3.2926615611315295,12.0,8.877048632583316
Bundesliga,2001,Hamburg,"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0]",24,12,12,10,4,6,1.233447599421348,1.2559863036669832,1.122334455667789,5,3.2386505622657245,2.0,9.43870155947348
