,League,Season,Team,Sequence,n,n1,n2,k,k1,k2,c1,c2,c3
0,Bundesliga,2000,Bayern Munich,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1]",28,14,14,19,9,10,1.4142084474522654,1.5217617602932305,1.2690355329949239
1,Bundesliga,2000,Bochum,"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",28,14,14,7,5,2,3.557103300669816,10.50253231719744,5.714285714285714
2,Bundesliga,2000,Cottbus,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1]",31,16,15,12,6,6,1.5401026560662618,1.79604172854337,1.422475106685633
3,Bundesliga,2000,Dortmund,"[1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1]",24,12,12,16,7,9,1.221184094120891,1.239523109694232,1.1037527593818985
4,Bundesliga,2000,Ein Frankfurt,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",29,15,14,10,6,4,2.2783586204333575,3.863889620287177,2.4691358024691357
5,Bundesliga,2000,FC Koln,"[0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]",24,12,12,12,7,5,2.5825977301387137,4.828396632130076,2.7777777777777777
6,Bundesliga,2000,Freiburg,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1]",24,12,12,15,6,9,1.12808850362943,1.1147670582566984,1.053740779768177
7,Bundesliga,2000,Hamburg,"[0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",23,12,11,10,5,5,1.4888918213567126,1.7463541946265306,1.3440860215053763
8,Bundesliga,2000,Hansa Rostock,"[0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0]",27,14,13,12,6,6,1.5175105332061893,1.759386916159739,1.3831258644536653
9,Bundesliga,2000,Hertha,"[0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1]",32,16,16,18,9,9,1.6806258940555632,2.0,1.5432098765432098
10,Bundesliga,2000,Kaiserslautern,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0]",29,15,14,15,9,6,2.8927652183629156,5.619271194285363,3.875968992248062
11,Bundesliga,2000,Leverkusen,"[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1]",28,14,14,17,9,8,2.0327100704732444,2.8620860603416816,1.937984496124031
12,Bundesliga,2000,Munich 1860,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0]",26,13,13,12,6,6,1.63540341789661,2.0,1.5060240963855422
13,Bundesliga,2000,Schalke 04,"[1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1]",26,13,13,18,9,9,1.6581246534155312,2.0,1.5105740181268883
14,Bundesliga,2000,Stuttgart,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0]",23,12,11,9,4,5,1.294771086918406,1.3810708078069203,1.183431952662722
15,Bundesliga,2000,Unterhaching,"[0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",23,12,11,8,5,3,2.3169831150268667,4.263807401259858,2.4213075060532687
16,Bundesliga,2000,Werder Bremen,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1]",26,13,13,15,6,9,1.14894499498751,1.1323123378609816,1.0570824524312896
17,Bundesliga,2000,Wolfsburg,"[0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]",23,12,11,12,7,5,2.2658448587424314,3.7257172078854355,2.293577981651376
18,Bundesliga,2001,Bayern Munich,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",26,13,13,20,10,10,1.6489719930562854,2.0,1.5151515151515151
19,Bundesliga,2001,Cottbus,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",26,13,13,9,3,6,1.1404595918962377,1.1212023997753857,1.0493179433368311
20,Bundesliga,2001,Dortmund,"[1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1]",27,14,13,21,11,10,1.7313070044652699,2.1786232127604483,1.4771048744460857
21,Bundesliga,2001,FC Koln,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]",26,13,13,7,3,4,1.345455675609176,1.490743003650105,1.203369434416366
22,Bundesliga,2001,Freiburg,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",25,13,12,7,5,2,3.2926615611315295,8.877048632583316,4.149377593360996
23,Bundesliga,2001,Hamburg,"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0]",24,12,12,10,4,6,1.233447599421348,1.2559863036669832,1.1123470522803114
